date,country,D,H,I,M,S
2021-12-19,Sweden,2,0,0,7,0
2021-12-20,Afghanistan,5,3,3,26,0
2021-12-20,Argentina,4,0,2,34,2
2021-12-20,Sweden,2,0,0,7,0
2021-12-21,Afghanistan,5,3,6,23,0
2021-12-21,Argentina,4,0,2,34,2
2021-12-21,Sweden,2,2,0,5,0
2021-12-22,Afghanistan,5,2,6,23,1
2021-12-22,Argentina,4,1,2,33,2
2021-12-22,Sweden,2,3,0,4,0
2021-12-23,Afghanistan,5,4,4,22,2
2021-12-23,Argentina,4,3,1,32,2
2021-12-23,Sweden,2,4,1,2,0
2021-12-24,Afghanistan,5,3,5,22,2
2021-12-24,Argentina,4,5,1,30,2
2021-12-24,Sweden,2,2,3,2,0
2021-12-25,Afghanistan,5,3,4,21,4
2021-12-25,Argentina,4,6,3,27,2
2021-12-25,Sweden,2,0,5,2,0
2021-12-26,Afghanistan,5,3,4,20,5
2021-12-26,Argentina,4,5,5,26,2
2021-12-26,Sweden,2,0,5,2,0
2021-12-27,Afghanistan,5,3,4,20,5
2021-12-27,Argentina,4,5,7,24,2
2021-12-27,Sweden,2,0,4,3,0
2021-12-28,Afghanistan,5,3,4,20,5
2021-12-28,Argentina,4,5,7,24,2
2021-12-28,Sweden,2,0,2,4,1
2021-12-29,Afghanistan,5,2,3,21,6
2021-12-29,Argentina,4,3,7,26,2
2021-12-29,Sweden,2,0,0,6,1
2021-12-30,Afghanistan,5,1,3,21,7
2021-12-30,Argentina,5,4,6,25,2
2021-12-30,Sweden,2,0,0,6,1
2021-12-31,Afghanistan,5,1,3,21,7
2021-12-31,Argentina,5,2,7,25,3
2021-12-31,Sweden,2,0,0,6,1
2022-01-01,Afghanistan,5,2,2,21,7
2022-01-01,Argentina,5,3,6,25,3
2022-01-01,Sweden,2,0,0,6,1
2022-01-02,Afghanistan,5,2,2,21,7
2022-01-02,Argentina,5,2,5,25,5
2022-01-02,Sweden,2,0,0,6,1
2022-01-03,Afghanistan,5,3,1,20,8
2022-01-03,Argentina,5,2,4,26,5
2022-01-03,Sweden,2,0,0,6,1
2022-01-04,Afghanistan,5,4,1,19,8
2022-01-04,Argentina,5,2,1,28,6
2022-01-04,Sweden,2,1,0,5,1
2022-01-05,Afghanistan,5,5,1,19,7
2022-01-05,Argentina,5,4,1,26,6
2022-01-05,Sweden,2,0,1,5,1
2022-01-06,Afghanistan,5,6,2,17,7
2022-01-06,Argentina,5,4,2,24,7
2022-01-06,Sweden,2,0,1,5,1
2022-01-07,Afghanistan,5,6,2,17,7
2022-01-07,Argentina,5,6,2,22,7
2022-01-07,Sweden,2,0,1,5,1
2022-01-08,Afghanistan,6,4,4,18,5
2022-01-08,Argentina,5,8,3,19,7
2022-01-08,Sweden,2,0,1,5,1
2022-01-09,Afghanistan,6,4,5,18,4
2022-01-09,Argentina,5,6,7,17,7
2022-01-09,Sweden,2,0,0,6,1
2022-01-10,Afghanistan,6,4,3,19,5
2022-01-10,Argentina,5,6,6,16,9
2022-01-10,Sweden,2,0,0,6,1
2022-01-11,Afghanistan,6,5,3,18,5
2022-01-11,Argentina,5,4,8,16,9
2022-01-11,Sweden,2,0,0,7,0
2022-01-12,Afghanistan,7,5,1,19,5
2022-01-12,Argentina,5,4,7,17,9
2022-01-12,Sweden,2,0,0,7,0
2022-01-13,Afghanistan,8,4,1,19,5
2022-01-13,Argentina,6,5,3,18,10
2022-01-13,Sweden,2,0,0,7,0
2022-01-14,Afghanistan,8,4,1,19,5
2022-01-14,Argentina,6,5,2,19,10
2022-01-14,Sweden,2,0,0,7,0
2022-01-15,Afghanistan,8,5,1,18,5
2022-01-15,Argentina,6,5,0,20,11
2022-01-15,Sweden,2,0,0,7,0
2022-01-16,Afghanistan,8,5,1,18,5
2022-01-16,Argentina,6,4,1,22,9
2022-01-16,Sweden,2,0,0,7,0
2022-01-17,Afghanistan,8,4,1,20,4
2022-01-17,Argentina,6,4,1,22,9
2022-01-17,Sweden,2,0,0,7,0
2022-01-18,Afghanistan,8,5,1,19,4
2022-01-18,Argentina,6,3,2,23,8
2022-01-18,Sweden,2,0,0,7,0
2022-01-19,Afghanistan,8,4,2,19,4
2022-01-19,Argentina,6,5,2,21,8
2022-01-19,Sweden,2,0,0,7,0
2022-01-20,Afghanistan,8,4,2,20,3
2022-01-20,Argentina,6,4,2,22,8
2022-01-20,Sweden,2,0,0,7,0
2022-01-21,Afghanistan,8,5,1,19,4
2022-01-21,Argentina,6,2,4,22,8
2022-01-21,Sweden,2,0,0,7,0
2022-01-22,Afghanistan,8,4,2,19,4
2022-01-22,Argentina,6,2,3,22,9
2022-01-22,Sweden,2,0,0,7,0
2022-01-23,Afghanistan,8,3,2,20,4
2022-01-23,Argentina,6,1,4,22,9
2022-01-23,Sweden,2,0,0,7,0
2022-01-24,Afghanistan,8,3,2,21,3
2022-01-24,Argentina,6,1,3,25,7
2022-01-24,Sweden,2,0,0,7,0
2022-01-25,Afghanistan,8,2,3,21,3
2022-01-25,Argentina,6,1,1,27,7
2022-01-25,Sweden,2,0,0,7,0
2022-01-26,Afghanistan,8,1,3,22,3
2022-01-26,Argentina,6,0,2,27,7
2022-01-26,Sweden,2,0,0,7,0
2022-01-27,Afghanistan,8,1,2,23,3
2022-01-27,Argentina,8,0,1,28,5
2022-01-27,Sweden,2,0,0,7,0
2022-01-28,Afghanistan,8,1,2,23,3
2022-01-28,Argentina,8,0,1,29,4
2022-01-28,Sweden,2,0,0,7,0
2022-01-29,Afghanistan,8,1,1,24,3
2022-01-29,Argentina,8,0,1,30,3
2022-01-29,Sweden,2,0,0,7,0
2022-01-30,Afghanistan,8,1,0,25,3
2022-01-30,Argentina,8,0,0,31,3
2022-01-30,Sweden,2,0,0,7,0
2022-01-31,Afghanistan,8,0,1,25,3
2022-01-31,Argentina,8,0,0,31,3
2022-01-31,Sweden,2,0,0,7,0
2022-02-01,Afghanistan,8,0,1,25,3
2022-02-01,Argentina,8,0,0,31,3
2022-02-01,Sweden,2,0,0,7,0
2022-02-02,Afghanistan,8,0,1,25,3
2022-02-02,Argentina,8,0,0,31,3
2022-02-02,Sweden,2,0,0,7,0
2022-02-03,Afghanistan,8,0,1,25,3
2022-02-03,Argentina,8,0,0,32,2
2022-02-03,Sweden,2,0,0,7,0
2022-02-04,Afghanistan,8,0,0,26,3
2022-02-04,Argentina,8,0,0,32,2
2022-02-04,Sweden,2,0,0,7,0
2022-02-05,Afghanistan,8,0,0,26,3
2022-02-05,Argentina,8,0,0,33,1
2022-02-05,Sweden,2,0,0,7,0
2022-02-06,Afghanistan,8,0,0,26,3
2022-02-06,Argentina,8,0,0,33,1
2022-02-06,Sweden,2,0,0,7,0
2022-02-07,Afghanistan,8,0,0,26,3
2022-02-07,Argentina,8,0,0,33,1
2022-02-07,Sweden,2,0,0,7,0
2022-02-08,Afghanistan,8,0,0,26,3
2022-02-08,Argentina,8,0,0,33,1
2022-02-08,Sweden,2,0,0,7,0
2022-02-09,Afghanistan,8,1,0,26,2
2022-02-09,Argentina,8,0,0,33,1
2022-02-09,Sweden,2,0,0,7,0
2022-02-10,Afghanistan,8,1,0,27,1
2022-02-10,Argentina,8,0,0,34,0
2022-02-10,Sweden,2,0,0,7,0
2022-02-11,Afghanistan,8,1,0,27,1
2022-02-11,Argentina,8,0,0,34,0
2022-02-11,Sweden,2,0,0,7,0
2022-02-12,Afghanistan,8,1,0,27,1
2022-02-12,Argentina,8,0,0,34,0
2022-02-12,Sweden,2,0,0,7,0
2022-02-13,Afghanistan,8,1,0,27,1
2022-02-13,Argentina,8,0,0,34,0
2022-02-13,Sweden,2,0,0,7,0
2022-02-14,Afghanistan,8,1,0,27,1
2022-02-14,Argentina,8,0,0,34,0
2022-02-14,Sweden,2,0,0,7,0
2022-02-15,Afghanistan,8,1,0,27,1
2022-02-15,Argentina,8,0,0,34,0
2022-02-15,Sweden,2,0,0,7,0
2022-02-16,Afghanistan,8,1,0,27,1
2022-02-16,Argentina,8,0,0,34,0
2022-02-16,Sweden,2,0,0,7,0
2022-02-17,Afghanistan,8,1,0,27,1
2022-02-17,Argentina,8,0,0,34,0
2022-02-17,Sweden,2,0,0,7,0
2022-02-18,Afghanistan,8,1,0,28,0
2022-02-18,Argentina,8,0,0,34,0
2022-02-18,Sweden,2,0,0,7,0
2022-02-19,Afghanistan,8,1,0,28,0
2022-02-19,Argentina,8,0,0,34,0
2022-02-19,Sweden,2,0,0,7,0
2022-02-20,Afghanistan,8,2,0,27,0
2022-02-20,Argentina,8,0,0,34,0
2022-02-20,Sweden,2,0,0,7,0
2022-02-21,Afghanistan,8,2,0,27,0
2022-02-21,Argentina,8,0,0,34,0
2022-02-21,Sweden,2,0,0,7,0
2022-02-22,Afghanistan,8,2,0,27,0
2022-02-22,Argentina,8,0,0,34,0
2022-02-22,Sweden,2,0,0,7,0
2022-02-23,Afghanistan,8,2,0,27,0
2022-02-23,Argentina,8,0,0,34,0
2022-02-23,Sweden,2,0,0,7,0
2022-02-24,Afghanistan,8,1,1,27,0
2022-02-24,Argentina,8,0,0,34,0
2022-02-24,Sweden,2,0,0,7,0
2022-02-25,Afghanistan,8,0,2,27,0
2022-02-25,Argentina,8,0,0,34,0
2022-02-25,Sweden,2,0,0,7,0
2022-02-26,Afghanistan,8,0,2,27,0
2022-02-26,Argentina,8,0,0,34,0
2022-02-26,Sweden,2,0,0,7,0
2022-02-27,Afghanistan,8,0,2,27,0
2022-02-27,Argentina,8,0,0,34,0
2022-02-27,Sweden,2,0,0,7,0
2022-02-28,Afghanistan,8,0,1,28,0
2022-02-28,Argentina,8,0,0,34,0
2022-02-28,Sweden,2,0,0,7,0
2022-03-01,Afghanistan,8,0,0,29,0
2022-03-01,Argentina,8,0,0,34,0
2022-03-01,Sweden,2,0,0,7,0
2022-03-02,Afghanistan,8,0,0,29,0
2022-03-02,Argentina,8,0,0,34,0
2022-03-02,Sweden,2,0,0,7,0
2022-03-03,Afghanistan,8,0,0,29,0
2022-03-03,Argentina,8,0,0,34,0
2022-03-03,Sweden,2,0,0,7,0
2022-03-04,Afghanistan,8,0,0,29,0
2022-03-04,Argentina,8,0,0,34,0
2022-03-04,Sweden,2,0,0,7,0
2022-03-05,Afghanistan,8,0,0,29,0
2022-03-05,Argentina,8,0,0,34,0
2022-03-05,Sweden,2,0,0,7,0
2022-03-06,Afghanistan,8,0,0,29,0
2022-03-06,Argentina,8,0,0,34,0
2022-03-06,Sweden,2,0,0,7,0
2022-03-07,Afghanistan,8,0,0,29,0
2022-03-07,Argentina,8,0,0,34,0
2022-03-07,Sweden,2,0,0,7,0
2022-03-08,Afghanistan,8,0,0,29,0
2022-03-08,Argentina,8,0,0,34,0
2022-03-08,Sweden,2,0,0,7,0
2022-03-09,Afghanistan,8,0,0,29,0
2022-03-09,Argentina,8,0,0,34,0
2022-03-09,Sweden,2,0,0,7,0
2022-03-10,Afghanistan,8,0,0,29,0
2022-03-10,Argentina,8,0,0,34,0
2022-03-10,Sweden,2,0,0,7,0
2022-03-11,Afghanistan,8,0,0,29,0
2022-03-11,Argentina,8,0,0,34,0
2022-03-11,Sweden,2,0,0,7,0
2022-03-12,Afghanistan,8,0,0,29,0
2022-03-12,Argentina,8,0,0,34,0
2022-03-12,Sweden,2,0,0,7,0
2022-03-13,Afghanistan,8,0,0,29,0
2022-03-13,Argentina,8,0,0,34,0
2022-03-13,Sweden,2,0,0,7,0
2022-03-14,Afghanistan,8,0,0,29,0
2022-03-14,Argentina,8,0,0,34,0
2022-03-14,Sweden,2,0,0,7,0
2022-03-15,Afghanistan,8,0,0,29,0
2022-03-15,Argentina,8,0,0,34,0
2022-03-15,Sweden,2,0,0,7,0
2022-03-16,Afghanistan,8,0,0,29,0
2022-03-16,Argentina,8,0,0,34,0
2022-03-16,Sweden,2,0,0,7,0
2022-03-17,Afghanistan,8,0,0,29,0
2022-03-17,Argentina,8,0,0,34,0
2022-03-17,Sweden,2,0,0,7,0
2022-03-18,Afghanistan,8,0,0,29,0
2022-03-18,Argentina,8,0,0,34,0
2022-03-18,Sweden,2,0,0,7,0
2022-03-19,Afghanistan,8,0,0,29,0
2022-03-19,Argentina,8,0,0,34,0
2022-03-19,Sweden,2,0,0,7,0
2022-03-20,Afghanistan,8,0,0,29,0
2022-03-20,Argentina,8,0,0,34,0
2022-03-20,Sweden,2,0,0,7,0
2022-03-21,Afghanistan,8,0,0,29,0
2022-03-21,Argentina,8,0,0,34,0
2022-03-21,Sweden,2,0,0,7,0
2022-03-22,Afghanistan,8,0,0,29,0
2022-03-22,Argentina,8,0,0,34,0
2022-03-22,Sweden,2,0,0,7,0
2022-03-23,Afghanistan,8,0,0,29,0
2022-03-23,Argentina,8,0,0,34,0
2022-03-23,Sweden,2,0,0,7,0
2022-03-24,Afghanistan,8,0,0,29,0
2022-03-24,Argentina,8,0,0,34,0
2022-03-24,Sweden,2,0,0,7,0
2022-03-25,Afghanistan,8,0,0,29,0
2022-03-25,Argentina,8,0,0,34,0
2022-03-25,Sweden,2,0,0,7,0
2022-03-26,Afghanistan,8,0,0,29,0
2022-03-26,Argentina,8,0,0,34,0
2022-03-26,Sweden,2,0,0,7,0
2022-03-27,Afghanistan,8,0,0,29,0
2022-03-27,Argentina,8,0,0,34,0
2022-03-27,Sweden,2,0,0,7,0
2022-03-28,Afghanistan,8,0,0,29,0
2022-03-28,Argentina,8,0,0,34,0
2022-03-28,Sweden,2,0,0,7,0
2022-03-29,Afghanistan,8,0,0,29,0
2022-03-29,Argentina,8,0,0,34,0
2022-03-29,Sweden,2,0,0,7,0
2022-03-30,Afghanistan,8,0,0,29,0
2022-03-30,Argentina,8,0,0,34,0
2022-03-30,Sweden,2,0,0,7,0
2022-03-31,Afghanistan,8,0,0,29,0
2022-03-31,Argentina,8,0,0,34,0
2022-03-31,Sweden,2,0,0,7,0
2022-04-01,Afghanistan,8,0,0,29,0
2022-04-01,Argentina,8,0,0,34,0
2022-04-01,Sweden,2,0,0,7,0
2022-04-02,Afghanistan,8,0,0,29,0
2022-04-02,Argentina,8,0,0,34,0
2022-04-02,Sweden,2,0,0,7,0
2022-04-03,Afghanistan,8,0,0,29,0
2022-04-03,Argentina,8,0,0,34,0
2022-04-03,Sweden,2,0,0,7,0
2022-04-04,Afghanistan,8,0,0,29,0
2022-04-04,Argentina,8,0,0,34,0
2022-04-04,Sweden,2,0,0,7,0
2022-04-05,Afghanistan,8,0,0,29,0
2022-04-05,Argentina,8,0,0,34,0
2022-04-05,Sweden,2,0,0,7,0
2022-04-06,Afghanistan,8,0,0,29,0
2022-04-06,Argentina,8,0,0,34,0
2022-04-06,Sweden,2,0,0,7,0
2022-04-07,Afghanistan,8,0,0,29,0
2022-04-07,Argentina,8,0,0,34,0
2022-04-07,Sweden,2,0,0,7,0
2022-04-08,Afghanistan,8,0,0,29,0
2022-04-08,Argentina,8,0,0,34,0
2022-04-08,Sweden,2,0,0,7,0
2022-04-09,Afghanistan,8,0,0,29,0
2022-04-09,Argentina,8,0,0,34,0
2022-04-09,Sweden,2,0,0,7,0
2022-04-10,Afghanistan,8,0,0,29,0
2022-04-10,Argentina,8,0,0,34,0
2022-04-10,Sweden,2,0,0,7,0
2022-04-11,Afghanistan,8,0,0,29,0
2022-04-11,Argentina,8,0,0,34,0
2022-04-11,Sweden,2,0,0,7,0
2022-04-12,Afghanistan,8,0,0,29,0
2022-04-12,Argentina,8,0,0,34,0
2022-04-12,Sweden,2,0,0,7,0
2022-04-13,Afghanistan,8,1,0,28,0
2022-04-13,Argentina,8,0,0,34,0
2022-04-13,Sweden,2,0,0,7,0
2022-04-14,Afghanistan,8,1,0,28,0
2022-04-14,Argentina,8,0,0,34,0
2022-04-14,Sweden,2,0,0,7,0
2022-04-15,Afghanistan,8,1,0,28,0
2022-04-15,Argentina,8,1,0,33,0
2022-04-15,Sweden,2,1,0,6,0
2022-04-16,Afghanistan,8,1,0,28,0
2022-04-16,Argentina,8,2,0,32,0
2022-04-16,Sweden,2,0,1,6,0
2022-04-17,Afghanistan,8,1,0,28,0
2022-04-17,Argentina,8,2,0,32,0
2022-04-17,Sweden,2,0,1,6,0
2022-04-18,Afghanistan,8,1,0,28,0
2022-04-18,Argentina,8,0,2,32,0
2022-04-18,Sweden,2,0,1,6,0
2022-04-19,Afghanistan,8,2,0,27,0
2022-04-19,Argentina,8,0,2,32,0
2022-04-19,Sweden,2,0,1,6,0
2022-04-20,Afghanistan,8,0,2,27,0
2022-04-20,Argentina,8,0,2,32,0
2022-04-20,Sweden,2,0,0,6,1
2022-04-21,Afghanistan,8,0,2,27,0
2022-04-21,Argentina,8,0,2,32,0
2022-04-21,Sweden,2,0,0,6,1
2022-04-22,Afghanistan,8,1,2,26,0
2022-04-22,Argentina,8,1,0,33,0
2022-04-22,Sweden,2,0,0,6,1
2022-04-23,Afghanistan,8,0,3,26,0
2022-04-23,Argentina,8,2,0,32,0
2022-04-23,Sweden,2,0,0,6,1
2022-04-24,Afghanistan,8,1,1,26,1
2022-04-24,Argentina,8,2,0,32,0
2022-04-24,Sweden,2,0,0,6,1
2022-04-25,Afghanistan,8,1,1,26,1
2022-04-25,Argentina,8,2,0,32,0
2022-04-25,Sweden,2,0,0,6,1
2022-04-26,Afghanistan,8,0,2,26,1
2022-04-26,Argentina,8,1,1,32,0
2022-04-26,Sweden,2,1,0,5,1
2022-04-27,Afghanistan,8,1,1,26,1
2022-04-27,Argentina,8,1,2,31,0
2022-04-27,Sweden,2,2,0,4,1
2022-04-28,Afghanistan,8,2,1,25,1
2022-04-28,Argentina,8,2,3,29,0
2022-04-28,Sweden,2,3,1,2,1
2022-04-29,Afghanistan,8,2,1,25,1
2022-04-29,Argentina,8,3,3,28,0
2022-04-29,Sweden,2,3,1,2,1
2022-04-30,Afghanistan,8,2,0,25,2
2022-04-30,Argentina,8,3,3,27,1
2022-04-30,Sweden,2,2,2,2,1
